Station ID,Station Marketing Name,Company Name,Mailing address,Mailing address postal code,Phone,Street Address,Street address postal code,Municipality,County,Country,Fax,Bankgiro,Postgiro,Org. number,Branch ID,MSI number,Has real estate,Report / KPI Attendant,Customer number,Customer number logistic,EAN code,Retailer ID,Equipment ID,Customer no. Wholesaler,Uffe owner number,Direct category shipment,Ownership/OperationType,Previous owner/Operation,Date of change,Station type,Status,Unit,Category,Price profile,Cluster,In Operation from,In operation to,Engineer district,Sales zone,Always Open,Working Days,Saturdays,Sundays,X-Coord,Y-Coord,Services,Fuels,Display Name,Country Code
10128,STATOIL ØRKILDSGADE,Statoil A/S,Postboks 120,0900 København C,62211527,Ørkildsgade 52,5700 Svendborg,Svendborg Kommune,Region Syddanmark,Denmark,62203995,,,28142412,,840016,Y,No / Yes,1003269040,9361601000,5790001326470,,,307121,,Medium,CO/CO,CO/CO,01-09-1998,Service Station,Active,Retail Station,Total Store,,Urban Main Road,,,Anker Olesen,DK Vest,,06.00-23.00,07.00-24.00,07.00-23.00,10.619177716044,55.063499657713,"Car wash, Routex Atlas, Simply Great Coffee","miles 92, miles 95, miles Diesel, milesPLUS Diesel",Statoil Ørkildsgade,DK
10135,STATOIL ØSTER SNEDE,v/Øster Snede Auto A/S,"Bredalvej 1, Øster Snede",8723 Løsning,75893511,"Bredalvej 1, Øster Snede",8723 Løsning,Hedensted Kommune,Region Midtjylland,Denmark,75893783,,,25457110,,840254,N,No / No,1003269043,9363144000,5790001326487,,,712427,,Small,DO/DO,DO/DO,12-01-1994,Service Station,Active,Retail Station,Statoil Servicenter,,Countryside,,,Anker Olesen,DK Vest,,06.30-20.00,07.00-19.00,07.00-19.00,9.6469049874239,55.794704169521,"Car wash, Routex Atlas, Simply Great Coffee","miles 92, miles 95, miles Diesel, milesPLUS Diesel",Statoil Øster Snede,DK
10140,"STATOIL HOLSTEBROV., HERNING",Statoil A/S,Postboks 120,0900 København C,97122138,Holstebrovej 21 - 23,7400 Herning,Herning Kommune,Region Midtjylland,Denmark,97129042,,,28142412,,840175,N,No / Yes,1003269049,9362443000,5790001326500,,,307157,,Medium,CO/CO,CO/CO,,Service Station,Active,Retail Station,Statoil Servicenter,,Urban Suburb,,,Anker Olesen,DK Vest,,06.00-23.00,07.00-23.00,07.00-23.00,8.9472793291250,56.137458471578,"Car wash, Routex Atlas, Simply Great Coffee","miles 92, miles 95, miles Diesel","Statoil Holstebrov., Herning",DK
10142,STATOIL GJESING,Statoil A/S,Postboks 120,0900 København C,75457810,"Stormgade 238, Gjesing",6715 Esbjerg N,Esbjerg Kommune,Region Syddanmark,Denmark,75457124,,,28142412,,840155,N,No / Yes,1003269052,9362054000,5790001326517,,,307144,,Large,CO/CO,CO/CO,01-11-1995,Service Station,Active,Retail Station,Total Store,,Urban Main Road,,,Anker Olesen,DK Vest,,05.30-24.00,06.30-01.00,06.30-24.00,8.4534159008939,55.507467889347,"Car wash, Lounge, Wifi, Routex Atlas, Trailer rental, Simply Great Coffee","miles 92, miles 95, miles Diesel, milesPLUS Diesel",Statoil Gjesing,DK
10145,1-2-3 HJØRRING,,Park Alle`69,9800 Hjørring,80200123,Bispensgade 87,9800 Hjørring,Hjørring Kommune,Region Nordjylland,Denmark,,,,28142412,,,N,No / No,1003269055,9363649000,5790001326524,,,,,,CO/CO,CO/DO,26-02-2004,Automat,Active,Retail Station,1-2-3,,,,,Anker Olesen,DK JET,00.00-24.00,,,,9.9960785109780,57.448690919610,Routex Atlas,"Blyfri 92, Blyfri 95,  ,  ",Statoil 1-2-3 Hjørring,DK
10146,"STATOIL NØRREBROG., HOLSTEBRO",Statoil A/S,Postboks 120,0900 København C,97424702,Nørrebrogade 12-14,7500 Holstebro,Holstebro Kommune,Region Midtjylland,Denmark,97412572,,,28142412,,840179,N,No / Yes,1003269058,9362500000,5790001326531,,,307161,,Medium,CO/CO,CO/CO,02-02-1998,Service Station,Active,Retail Station,Statoil Servicenter,,Urban Suburb,,,Anker Olesen,DK Vest,,06.00-24.00,07.00-24.00,07.00-24.00,8.6120180749547,56.364048919516,"Car wash, Routex Atlas, Trailer rental, Simply Great Coffee","miles 92, miles 95, miles Diesel","Statoil Nørrebrog., Holstebro",DK
10151,STATOIL IKAST,Statoil A/S,Postboks 120,0900 København C,97151108,Vestergade 34-38,7430 Ikast,Ikast-Brande Kommune,Region Midtjylland,Denmark,97156054,,,28142412,,840177,N,No / Yes,1003269061,9362468000,5790001326548,,,307159,,Medium,CO/CO,CO/CO,,Service Station,Active,Retail Station,Total Store,,Urban Suburb,,,Anker Olesen,DK Vest,,06.00-24.00,07.00-24.00,07.00-24.00,9.1496424873371,56.139295957500,"Car wash, Routex Atlas, Trailer rental, Simply Great Coffee","miles 92, miles 95, miles Diesel",Statoil Ikast,DK
10154,1-2-3 ST. BINDERUP,,Solhøj 589,9610 Nørager,80200123,"Gl. Viborgvej 11, St. Binderup",9600 Aars,Rebild Kommune,Region Nordjylland,Denmark,,,,28142412,,,N,No / No,1003269064,9363532000,5790001326555,,,,,,CO/CO,CO/DO,,Automat,Active,Retail Station,1-2-3,,,,,Anker Olesen,DK JET,00.00-24.00,,,,9.5604648158169,56.764445557517,"Routex Atlas, TruckDiesel Network","Blyfri 92, Blyfri 95,  ,  ",Statoil 1-2-3 St. Binderup,DK
10155,STATOIL GRÆSTED,Statoil A/S,Postboks 120,0900 København C,48392811,Græsted Stationsvej 33,3230 Græsted,Gribskov Kommune,Region Hovedstaden,Denmark,48392824,,,28142412,,840069,N,No / Yes,1003269067,9360603000,5790001326562,,,307057,,Small,CO/CO,CO/CO,29-08-1997,Service Station,Active,Retail Station,Statoil Servicenter,,Countryside,,,Per Buchholz,DK Øst,,06.00-22.00,07.00-22.00,07.00-22.00,12.282596976593,56.070159027304,"Car wash, Routex Atlas, Simply Great Coffee","miles 92, miles 95, miles Diesel",Statoil Græsted,DK
10156,STATOIL LIND,Statoil A/S,Postboks 120,0900 København C,97125695,"Lind Hovedgade 2 A, Lind",7400 Herning,Herning Kommune,Region Midtjylland,Denmark,97120645,,,28142412,,840176,N,No / Yes,1003269070,9362450000,5790001326579,,,307158,,Medium,CO/CO,CO/CO,01-10-1995,Service Station,Active,Retail Station,Total Store,,Countryside,,,Anker Olesen,DK Vest,,06.00-22.00,07.00-22.00,07.00-22.00,8.9784756572647,56.108383735620,"Car wash, Routex Atlas, Simply Great Coffee","miles 92, miles 95, miles Diesel",Statoil Lind,DK
10157,STATOIL AULUM,v/Annie Lauritsen,Smedegade 2,7490 Avlum,97471197,Smedegade 2,7490 Avlum,Herning Kommune,Region Midtjylland,Denmark,97471127,,,31284015,,,N,No / No,1004265496,,5790001417314,,,307160,,Medium,DO/DO,DO/DO,01-06-2004,Service Station,Active,Retail Station,Statoil Servicenter,,Countryside,,,Anker Olesen,DK Vest,,06.00-21.30,07.00-21.30,07.00-21.30,8.7960948471412,56.262241354476,"Car wash, Made to Go fast food, Routex Atlas, Simply Great Coffee","AdBlue Fuel, miles 92, miles 95, miles Diesel, milesPLUS Diesel",Statoil Aulum,DK
10158,STATOIL 1-2-3 HAGEBRO,v/Hagebro Købmandsforretning ApS,"Holstebrovej 286, Hagebro",7800 Skive,80200123,"Holstebrovej 286, Hagebro",7800 Skive,Viborg Kommune,Region Midtjylland,Denmark,,,,52687411,,,N,No / No,1005480325,9362617000,5790001326593,,,,,,DO/DO,DO/DO,01-03-2012,Automat,Active,Retail Station,Statoil Lavpris Automat,,,,,Anker Olesen,DK Vest,00.00-24.00,,,,9.0110573598847,56.408054158370,Routex Atlas,"Blyfri 92, Blyfri 95,  ",Statoil 1-2-3 Hagebro,DK
10160,"INGO NØRRESUNDBY, ØSTERGADE",.,,0900 København C,8020 8088,Østergade 41,9400 Nørresundby,Aalborg Kommune,Region Nordjylland,Denmark,,,,28142412,,840226,Y,No / Yes,1003269079,,5790001326609,,,,,Medium,CO/CO,CO/CO,05-01-2004,Accepterer Statoil-kort,Active,Retail Station,INGO,,Urban Suburb,,,Hans Willy Due,DK Vest,00.00-24.00,,,,9.9319961025309,57.059938619197,,"Blyfri 92, Blyfri 95,  ,  ","INGO Nørresundby, Østergade",DK
10169,STATOIL EJSTRUPHOLM,v/Thomas Rigtrup Pold,Østergade 66,7361 Ejstrupholm,75772330,Østergade 66,7361 Ejstrupholm,Ikast-Brande Kommune,Region Midtjylland,Denmark,75772362,,,27747574,,840174,Y,Yes / Yes,1003269082,9362435000,5790001326616,,,307156,,Small,CO/DO,CO/DO,03-06-2004,Service Station,Active,Retail Station,Statoil Servicenter,,Countryside,,,Anker Olesen,DK Vest,,06.00-22.00,08.00-22.00,08.00-22.00,9.2992449410000,55.981610619933,"Car wash, Routex Atlas, Simply Great Coffee","miles 92, miles 95, miles Diesel",Statoil Ejstrupholm,DK
10171,"STATOIL ÅRHUSVEJ, RANDERS",Statoil A/S,Postboks 120,0900 København C,86423263,Århusvej 98,8940 Randers SV,Randers Kommune,Region Midtjylland,Denmark,86423973,,,28142412,,840222,N,No / Yes,1003269085,9363276000,5790001326623,,,307206,,Small,CO/CO,CO/CO,29-05-1998,Service Station,Active,Retail Station,Statoil Servicenter,,Urban Main Road,,,Anker Olesen,DK Vest,,06.00-23.00,07.00-23.00,07.00-23.00,10.049869338410,56.439275172114,"Car wash, Routex Atlas, Trailer rental, TruckDiesel Network, Simply Great Coffee","miles 92, miles 95, miles Diesel, milesPLUS Diesel","Statoil Århusvej, Randers",DK
10172,"STATOIL HADSUNDVEJ, RANDERS",v/Magnus Madsen,Hadsundvej 114,8900 Randers,86420481,Hadsundvej 114,8930 Randers NØ,Randers Kommune,Region Midtjylland,Denmark,87969538,,,13262306,,840220,N,Yes / Yes,1004202172,9364449000,5790001417253,,,307205,,Small,CO/DO,CO/DO,01-02-2008,Service Station,Active,Retail Station,Statoil Servicenter,,Urban Suburb,,,Anker Olesen,DK Vest,,06.00-22.00,07.00-22.00,07.00-22.00,10.042169668100,56.476098258031,"Car wash, Routex Atlas, Trailer rental, Simply Great Coffee","miles 92, miles 95, miles Diesel, milesPLUS Diesel","Statoil Hadsundvej, Randers",DK
10177,INGO BRØNDERSLEV,.,,0900 København C,8020 8088,Aalborgvej 78,9700 Brønderslev,Brønderslev Kommune,Region Nordjylland,Denmark,,,,28142412,,840235,Y,No / Yes,,,5790001326647,,,,,Not entered,CO/CO,CO/CO,15-01-2001,Accepterer Statoil-kort,Active,Retail Station,INGO,,Countryside,,,Hans Willy Due,DK Vest,00.00-24.00,,,,9.9685008597754,57.260935161783,,"Blyfri 92, Blyfri 95,  ,  ",INGO Brønderslev,DK
10189,STATOIL NYKØBING M,Statoil A/S,Postboks 120,0900 København C,97720133,Vesterbro 1,7900 Nykøbing M,Morsø Kommune,Region Nordjylland,Denmark,97711399,,,28142412,,840187,Y,No / Yes,1003269097,9362666000,5790001326661,,,307170,,Medium,CO/CO,CO/CO,01-02-1998,Service Station,Active,Retail Station,Statoil Servicenter,,Urban Inner City,,,Anker Olesen,DK Vest,,06.00-23.00,06.30-24.00,06.30-23.00,8.8535461719708,56.793108422818,"Car wash, Routex Atlas, Trailer rental, Simply Great Coffee","miles 92, miles 95, miles Diesel",Statoil Nykøbing M,DK
10191,STATOIL OVERLUND,Statoil A/S,Postboks 120,0900 København C,86674197,"Randersvej 3, Overlund",8800 Viborg,Viborg Kommune,Region Midtjylland,Denmark,86673748,,,28142412,,840019,N,No / No,1003930973,,5790001417208,,,307200,,Small,CO/CO,DO/DO,03-12-2007,Service Station,Active,Retail Station,Total Store,,Countryside,,,Anker Olesen,DK Vest,,06.00-23.00,07.30-23.00,07.30-23.00,9.4338589159240,56.448945746899,"Car wash, Routex Atlas, Trailer rental, Simply Great Coffee","miles 92, miles 95, miles Diesel, milesPLUS Diesel",Statoil Overlund,DK
10195,"STATOIL INDRE RINGVEJ 2, VIBORG",Statoil A/S,Postboks 120,0900 København C,86621616,Indre Ringvej 2,8800 Viborg,Viborg Kommune,Region Midtjylland,Denmark,86622452,,,28142412,,840218,N,No / Yes,1003269103,9364316000,5790001326685,,,307201,,Large,CO/CO,CO/CO,01-12-2002,Service Station,Active,Retail Station,Statoil Servicenter,,Urban Suburb,,,Anker Olesen,DK Vest,00.00-24.00,,,,9.3918687600757,56.450117921852,"Car wash, Routex Atlas, Simply Great Coffee","AdBlue Fuel, miles 92, miles 95, miles Diesel","Statoil Indre Ringvej 2, Viborg",DK
10198,1-2-3 GRÅSTEN,Heissel/,Planetvej 1,6300 Gråsten,80200123,Planetvej 1,6300 Gråsten,Sønderborg Kommune,Region Syddanmark,Denmark,,,,28142412,,,Y,No / No,1003269106,,5790001326692,,,,,,CO/CO,CO/DO,,Automat,Active,Retail Station,1-2-3,,,,,Anker Olesen,DK JET,00.00-24.00,,,,9.6089410915376,54.932944677953,"Routex Atlas, TruckDiesel Network","Blyfri 92, Blyfri 95,  ",Statoil 1-2-3 Gråsten,DK
10199,1-2-3 SEGGELUND,,Seggelund Hovedvej 55,6070 Christiansfeld,80200123,"Hovedvej 55, Seggelund",6070 Christiansfeld,Kolding Kommune,Region Syddanmark,Denmark,,,,28142412,,,Y,No / No,1003269109,,5790001326708,,,,,,CO/CO,/DO,,Automat,Active,Retail Station,1-2-3,,,,,Anker Olesen,DK JET,00.00-24.00,,,,9.4937825008174,55.325762440915,"Routex Atlas, TruckDiesel Network","Blyfri 92, Blyfri 95,  ",Statoil 1-2-3 Seggelund,DK
10201,"STATOIL SKIBBROEN, ÅBENRÅ",Statoil A/S,Postboks 120,0900 København C,74623918,Skibbroen 24,6200 Aabenraa,Aabenraa Kommune,Region Syddanmark,Denmark,73620895,,,28142412,,840139,Y,No / Yes,1003269112,9361767000,5790001326715,,,307133,,Medium,CO/CO,CO/CO,,Service Station,Active,Retail Station,Statoil Servicenter,,Urban Suburb,,,Anker Olesen,DK Vest,00.00-24.00,,,,9.4217879590740,55.040798864907,"Car wash, Routex Atlas, Simply Great Coffee","miles 92, miles 95, miles Diesel, milesPLUS Diesel","Statoil Skibbroen, Åbenrå",DK
10206,INGO HVIDE SANDE,.,Kaniavej 44,6960 Hvide Sande,8020 8088,Parallelvej 65,6960 Hvide Sande,Ringkøbing-Skjern Kommune,Region Midtjylland,Denmark,,,,28142412,,,Y,No / No,1003269114,9362203000,5790001326722,,,,,,CO/CO,CO/DO,25-03-2004,Accepterer Statoil-kort,Active,Retail Station,INGO,,,,,Hans Willy Due,DK JET,00.00-24.00,,,,8.1267172051381,56.015481040583,Routex Atlas,"Blyfri 92, Blyfri 95,  ",INGO Hvide Sande,DK
10208,INGO SØREN FRICHSVEJ,.,Lyngvej 11,8240 Risskov,8020 8088,Søren Frichsvej 54,8230 Åbyhøj,Århus Kommune,Region Midtjylland,Denmark,,,,28142412,,,Y,No / No,1003269117,,5790001326739,,,,,,CO/CO,CO/DO,,Accepterer Statoil-kort,Active,Retail Station,INGO,,,,,Hans Willy Due,DK JET,00.00-24.00,,,,10.166770269165,56.150452989853,Routex Atlas,"Blyfri 92, Blyfri 95,  ",INGO Søren Frichsvej,DK
10210,"STATOIL N.RINGGADE, ÅRHUS",Statoil A/S,Postboks 120,0900 København C,86168336,Ndr. Ringgade 114,8200 Århus N,Århus Kommune,Region Midtjylland,Denmark,86104830,,,28142412,,840189,N,No / Yes,1003269120,9362716000,5790001326746,,,307172,,Large,CO/CO,CO/CO,01-06-1997,Service Station,Active,Retail Station,Total Store,,Urban Inner City,,,Anker Olesen,DK Vest,00.00-24.00,,,,10.216080186927,56.174987147255,"Car wash, Lounge, Wifi, Routex Atlas, Simply Great Coffee","miles 92, miles 95, miles Diesel, milesPLUS Diesel","Statoil N.ringgade, Århus",DK
10212,"STATOIL RANDERSVEJ, ÅRHUS",Statoil A/S,Postboks 120,0900 København C,86163101,Randersvej 141,8200 Århus N,Århus Kommune,Region Midtjylland,Denmark,87390637,,,28142412,,840008,N,No / Yes,1003269123,9362708000,5790001326753,,,307173,,Small,CO/CO,CO/CO,,Service Station,Active,Retail Station,Statoil Servicenter,,Urban Suburb,,,Anker Olesen,DK Vest,,06.00-23.00,07.30-23.00,07.30-23.00,10.195708753588,56.184394178019,"Car wash, Routex Atlas, TruckDiesel Network, Simply Great Coffee","miles 92, miles 95, miles Diesel","Statoil Randersvej, Århus",DK
10213,"STATOIL SKANDERBORGVEJ 39, ÅRHUS C",Statoil A/S,Postboks 120,0900 København C,86140616,Skanderborgvej 39,8000 Århus C,Århus Kommune,Region Midtjylland,Denmark,86148414,,,28142412,,840188,N,No / Yes,1003269126,9362690000,5790001326760,,,307171,,Medium,CO/CO,CO/CO,,Service Station,Active,Retail Station,Total Store,,Urban Inner City,,,Anker Olesen,DK Vest,,06.00-24.00,07.00-24.00,07.00-24.00,10.182620859366,56.139801170273,"Car wash, Lounge, Wifi, Routex Atlas, Simply Great Coffee","miles 92, miles 95, miles Diesel, milesPLUS Diesel","Statoil Skanderborgvej 39, Århus C",DK
10216,1-2-3 KORSØR,Bill Olsen,Bragesvej 97,4220 Korsør,80200123,Tårnborgvej 31/Kongebroen,4220 Korsør,Slagelse Kommune,Region Sjælland,Denmark,,,,28142412,,,Y,No / No,1003269129,3765955,5790001326777,,,,,,CO/CO,CO/DO,,Automat,Active,Retail Station,1-2-3,,,,,Per Buchholz,DK JET,00.00-24.00,,,,11.140295185348,55.339687033633,Routex Atlas,"Blyfri 92, Blyfri 95,  ",Statoil 1-2-3 Korsør,DK
10224,STATOIL LAVPRIS ALLINGE,v/Strandvejens Autoværksted,Strandvejen 2,3770 Allinge,80200123,Strandvejen 2,3770 Allinge,Bornholm Kommune,Region Hovedstaden,Denmark,,,,28476396,,,N,No / Yes,1003271102,,5790001405656,,,,,,DO/DO,CO/CO,23-09-2008,Automat,Active,Retail Station,Statoil Lavpris Automat,,,,,Per Buchholz,DK JET,00.00-24.00,,,,14.794746901071,55.281488184007,Routex Atlas,"Blyfri 92, Blyfri 95,  ",Statoil Lavpris Allinge,DK
10226,"1-2-3 BELLINGEVEJ, ODENSE",,"Lungstedløkken 19, Bellinge",5250 Odense SV,80200123,Bellingevej 92,5250 Odense SV,Odense Kommune,Region Syddanmark,Denmark,,,10335,28142412,,,Y,No / No,1003269132,9364118000,5790001326784,,,,,,CO/CO,CO/DO,02-03-2004,Automat,Active,Retail Station,1-2-3,,,,,Anker Olesen,DK JET,00.00-24.00,,,,10.314544036905,55.337858040768,Routex Atlas,"Blyfri 92, Blyfri 95,  ","Statoil 1-2-3 Bellingevej, Odense",DK
10228,STATOIL MIDDELFART,Statoil A/S,Postboks 120,0900 København C,64411971,Odensevej 96,5500 Middelfart,Middelfart Kommune,Region Syddanmark,Denmark,64419851,,,28142412,,840127,N,No / Yes,1003269135,9363987000,5790001326791,,,307117,,Small,CO/CO,CO/CO,31-01-2000,Service Station,Active,Retail Station,Total Store,,Countryside,,,Anker Olesen,DK Vest,,06.00-23.00,07.00-23.00,07.00-23.00,9.7479851629296,55.501428384527,"Car wash, Routex Atlas, Trailer rental, Simply Great Coffee","miles 92, miles 95, miles Diesel, milesPLUS Diesel",Statoil Middelfart,DK
10229,STATOIL BOGENSE,v/Morten Olsen,Odensevej 136,5400 Bogense,64811203,Odensevej 136,5400 Bogense,Nordfyns Kommune,Region Syddanmark,Denmark,64813283,,,25105389,,840126,N,No / No,1004862436,9361486000,5790001721596,,,307238,,Small,DO/DO,DO/DO,,Service Station,Active,Retail Station,Statoil Servicenter,,Countryside,,,Anker Olesen,DK Vest,,06.00-22.00,07.00-22.00,07.00-22.00,10.091786736792,55.551290878399,"Car wash, Routex Atlas, Simply Great Coffee","miles 92, miles 95, miles Diesel",Statoil Bogense,DK
10230,"STATOIL BJERREVEJ, HORSENS",Statoil A/S,Postboks 120,0900 København C,75647751,"Bjerrevej 99, Dagnæs",8700 Horsens,Horsens Kommune,Region Midtjylland,Denmark,75648975,,,28142412,,840214,N,No / Yes,1003269141,9363102000,5790001326814,,,307194,,Medium,CO/CO,CO/CO,,Service Station,Active,Retail Station,Total Store,,Urban Suburb,,,Anker Olesen,DK Vest,00.00-24.00,,,,9.8473320310352,55.843500439974,"Car wash, Made to Go fast food, Lounge, Wifi, Routex Atlas, Simply Great Coffee","miles 92, miles 95, miles Diesel, milesPLUS Diesel","Statoil Bjerrevej, Horsens",DK
10234,STATOIL GLAMSBJERG,v/Helle Vivian Bo Hansen,Odensevej 14,5620 Glamsbjerg,64722202,Odensevej 14,5620 Glamsbjerg,Assens Kommune,Region Syddanmark,Denmark,64723246,,,31109922,,840129,Y,Yes / Yes,1004227824,,5790001417260,,,307120,,Small,CO/DO,CO/DO,01-04-2008,Service Station,Active,Retail Station,Statoil Servicenter,,Countryside,,,Anker Olesen,DK Vest,,06.00-21.00,08.00-21.00,08.00-21.00,10.113066499276,55.269866289747,"Car wash, Routex Atlas, Trailer rental, Simply Great Coffee","miles 92, miles 95, miles Diesel",Statoil Glamsbjerg,DK
